"","Estimate"
"432",27899.2130407614
"433",43771.1830468418
"434",26033.3776388006
"435",26855.2657239665
"436",43721.7711680991
"437",17254.8093406287
"438",87962.2867794066
"439",197404.36698179
"440",23469.7906530598
"441",10353.2628411911
"442",33987.1742101224
"443",42154.076882118
"444",59692.0173820068
"445",22849.1162269706
"446",19609.7366173759
"447",6927.4350029996
"448",33207.0354055461
"449",18096.373541491
"450",44686.8023422146
"451",32185.2788422832
"452",24920.6140751504
"453",24107.7453113833
"454",25870.8185820079
"455",16871.4102063426
"456",13994.2661845543
"457",59092.7146869087
"458",23555.1632618619
"459",61752.7637794141
"460",18171.0640106266
"461",43998.5582863588
"462",24464.8140891259
"463",16730.7348060508
"464",12254.6783841678
"465",11257.5366422027
"466",88726.2009876336
"467",11376.0117733253
"468",36753.5794579837
"469",43676.4573858013
"470",36873.3140024938
"471",10568.8967143305
"472",10351.218474374
"473",21095.2739681733
"474",13283.4701256845
"475",11479.8489851746
"476",22468.5626603199
"477",12792.0554046066
"478",45181.1269761768
"479",24503.6428409815
"480",39688.5044422026
"481",23422.426645614
"482",46175.7805635278
"483",38780.0439486515
"484",22434.4588021802
"485",23827.4121996509
"486",20023.0814462758
"487",33891.4248723151
"488",58798.764482399
"489",127815.977396296
"490",34166.28636606
"491",18919.7160939879
"492",79222.8717999586
"493",21378.7557337488
"494",21088.4052240728
"495",71803.6581981356
"496",20078.7983312841
"497",68463.7353343695
"498",55724.3210073549
"499",6548.49477419498
"500",26994.7333360455
"501",22018.1149094904
"502",21782.1304598368
"503",16612.27774538
"504",28028.2562477666
"505",29321.766903912
"506",31358.6708433414
"507",36371.6543958227
"508",31193.9361270011
"509",37912.3969500961
"510",71869.816984822
"511",59105.5452252221
"512",68283.2711406725
"513",53639.6962747377
"514",19510.2131861842
"515",79298.5645344771
"516",8694.36899171528
"517",11738.3862403961
"518",92755.9292522387
"519",35729.4087083221
"520",51725.2107284299
"521",20494.271765263
"522",37707.7343843497
"523",73680.6355988127
"524",24918.4394355297
"525",18950.4794865645
"526",28510.8244059158
"527",25751.8994126693
"528",44886.5681509259
"529",44791.6222090443
"530",52860.2772366522
"531",30788.9738088549
"532",13483.9721091518
"533",51368.470952814
"534",35749.9184991424
"535",21339.254656371
"536",64571.8663442702
"537",19564.8113692396
"538",31535.6619687771
"539",29919.4181294351
"540",54745.2798894721
"541",39385.6881920106
"542",39487.7137048038
"543",10793.5681765753
"544",61563.6539397262
"545",92043.3469000141
"546",18875.2418696876
"547",26191.7907297194
"548",70813.5572463616
"549",50558.5525144065
"550",36428.5862587765
"551",10300.213632913
"552",23536.0721962962
"553",21815.3879427467
"554",29870.7629043197
"555",20303.1588857386
"556",12122.7880658243
"557",53737.4574323703
"558",60707.3180139855
"559",11709.6188134431
"560",19761.4873751091
"561",28393.0284898682
"562",5119.78002328318
"563",47173.3008073857
"564",18870.1044959659
"565",39606.39299537
"566",12593.0914483668
"567",49795.5966552043
"568",22357.1508088507
"569",68873.4995955947
"570",37837.4828966672
"571",32726.8822529317
"572",26767.3694293343
"573",86741.7315897487
"574",40672.663369881
"575",102411.30032525
"576",34887.150764753
"577",33886.0035735886
"578",34665.2959703896
"579",33309.6921500698
"580",34983.2224000906
"581",37711.1046841195
"582",43439.3530927973
"583",12011.1802970624
"584",40020.8303168876
"585",14785.4794895011
"586",59706.7015376545
"587",20441.7375842358
"588",15068.747289419
"589",14723.8795378208
"590",18263.6703783432
"591",33712.4645702274
"592",9769.55391372418
"593",24016.4811412134
"594",38738.1297176071
"595",23590.5636058611
"596",169569.040433449
"597",42264.7045835723
"598",21294.0710028938
"599",22846.3335464235
"600",68541.5921242586
"601",41989.7030878886
"602",65877.6390204652
"603",37406.7870812726
"604",45990.6236668952
"605",26870.8347388428
"606",43458.948556576
"607",9651.23704130045
"608",10088.8268746587
"609",20814.500270337
"610",60177.7890669317
"611",53234.7270273154
"612",16828.8305180753
"613",6743.04324950942
"614",26422.9828579079
"615",28099.5792993389
"616",29235.1372157364
"617",27770.098889246
"618",11570.4077500965
"619",24987.0317918615
"620",47969.3545288656
"621",18357.2585291219
"622",30556.8125961712
"623",33918.5259970259
"624",30340.5374131078
"625",9128.1314820817
"626",15154.9175037971
"627",11022.9456518655
"628",74594.765866519
"629",24543.4945969778
"630",26325.5088638123
"631",29059.4731219836
"632",55033.6222215191
"633",6185.95051227608
"634",12295.0151844186
"635",54458.3381493482
"636",81751.8902214739
"637",13011.7490656906
"638",19637.8941882979
"639",14742.4146442439
"640",25416.0428703846
"641",58047.9920405814
"642",15969.5971238552
"643",23157.9368774202
"644",5604.24053216442
"645",29257.2787710768
"646",33554.8270866463
"647",59600.2578122271
"648",74058.5808865108
"649",52519.8895604887
"650",23814.0378279847
"651",26869.3029010059
"652",89978.1254716056
"653",39175.5462673335
"654",56951.2050617327
"655",54987.7918399709
"656",9409.86514674099
"657",21218.9690531601
"658",28321.8757705376
"659",52039.3217203421
"660",18533.8969101586
"661",31456.580027061
"662",27898.7190376564
"663",28865.7502413066
"664",7878.01531457818
"665",52907.4984213399
"666",59066.8215982278
"667",12874.9167681203
"668",26928.3776058741
"669",11972.28171427
"670",15102.9055641978
"671",51112.141457127
"672",18171.3735395196
"673",6946.56044716219
"674",26841.6549955784
"675",16611.9975038412
"676",22862.5574400692
"677",63751.6408917166
"678",8249.84869811194
"679",101958.000880256
"680",26332.5650722844
"681",55998.868360322
"682",71309.6908566435
"683",42489.0321110943
"684",55430.9084217062
"685",44038.5943774496
"686",11355.061672099
"687",54387.0565889155
"688",16026.0309938853
"689",27072.6210373605
"690",30932.3720577677
"691",21746.3888093808
"692",58889.9816796337
"693",18095.6521426617
"694",7659.33030853775
"695",53114.5431439496
"696",19749.9327995065
"697",26343.4126295612
"698",19615.4166696752
"699",27033.3987626974
"700",23205.5268099099
"701",62485.6888704697
"702",14865.2950845467
"703",37904.6934059301
"704",8451.29276856314
"705",34874.3563053052
"706",24676.2138938432
"707",22439.7545649561
"708",31299.6625786975
"709",43756.6301210619
"710",49643.5219960331
"711",34346.19403896
"712",17972.7790888442
"713",38333.7124222586
"714",10928.7147201086
"715",70705.0143849348
"716",19291.2211414699
"717",39530.3380304709
"718",13833.2584112424
"719",54897.1450837834
"720",22205.1530980587
"721",115276.507960382
"722",27184.0152616924
"723",11910.1880839234
"724",13256.8907197236
"725",22689.7691435207
"726",46807.4918238117
"727",41807.6172050495
"728",18057.9052161292
"729",6555.83852507458
"730",11494.3558765883
"731",31515.9310533423
"732",105555.133236791
"733",16089.5338912977
"734",9691.04158000238
"735",68585.379379091
"736",82088.2381644355
"737",23839.5617916198
"738",86790.757493768
"739",16444.049687835
"740",64570.1686089026
"741",52983.9585059361
"742",90633.3975887983
"743",46574.5064073958
"744",28101.3334561808
"745",24258.0765242022
"746",24848.3736860023
"747",20065.8377668016
"748",19832.4428292808
"749",37390.7584040286
"750",20876.6107661366
"751",30753.758553484
"752",30599.770073265
"753",48442.277491818
"754",26075.0726858272
"755",12605.725378056
"756",26666.5867396947
"757",21778.1741948217
"758",18897.7868910167
"759",26940.1563974531
"760",29692.2808391602
"761",28626.6024794627
"762",26100.8478351584
"763",18044.9008302483
"764",26188.1638342851
"765",116146.54680255
"766",36275.2219833266
"767",21458.52564705
"768",53336.9332781121
"769",34829.2900789913
"770",17866.1705243825
"771",60655.4310383002
"772",17933.3362602636
"773",16365.0157759407
"774",123951.396129704
"775",41213.4917311553
"776",39903.4485898596
"777",10542.2357884134
"778",57367.6428242971
"779",35329.8842065507
"780",95745.3088204693
"781",25012.6363444441
"782",44996.4713950044
"783",15184.5485422427
"784",26509.0990449923
"785",33019.4305746708
"786",17496.7789713936
"787",25639.6681225637
"788",55896.3708165783
"789",34345.3777564411
"790",6992.59840843215
"791",30811.356215613
"792",37080.0081389373
"793",24191.0491667403
"794",21777.9694367995
"795",19886.7273911674
"796",10713.2361962501
"797",34638.7964089212
"798",15424.7188400593
"799",109659.382029832
"800",45771.9751220365
"801",7805.47111730568
"802",18646.0356411971
"803",108452.584066218
"804",47588.3382191576
"805",28950.6656892517
"806",16663.98503403
"807",23418.8624974113
"808",26985.0318377356
"809",32397.345948543
"810",31543.8500362313
"811",35767.7719910654
"812",13215.5896446743
"813",41953.7177360898
"814",35035.3054451836
"815",22137.6314779496
"816",19434.8527767034
"817",52610.0167642155
"818",19019.348233188
"819",39755.3748722415
"820",94654.7787211768
"821",11017.820329172
"822",16165.7215666265
"823",15680.9838067699
"824",22339.0880315309
"825",20499.4658446602
"826",24562.3427773273
"827",7599.2057500613
"828",13876.7344753078
"829",38149.3741167347
"830",39932.0068533455
"831",39171.6236906512
"832",26800.3486267595
"833",12049.1607530539
"834",38351.6609092538
"835",6194.09356749984
"836",20700.0183176599
"837",29238.9215825498
"838",21609.9133795632
"839",25476.4220904054
"840",26632.0112812395
"841",50515.1272642773
"842",20497.6311087188
"843",34831.747060924
"844",87220.1940066584
"845",19955.9653887023
"846",60222.7977355923
"847",43279.9557113714
"848",50509.4159814859
"849",14542.6495073815
"850",17637.0003045429
"851",20863.1141821245
"852",14472.9345017104
"853",18424.0613920537
"854",33260.1726424188
"855",34922.5831929379
"856",75246.5918716778
"857",7584.98206632145
"858",66845.0413053478
"859",9999.28212863942
"860",72702.4350861649
"861",88467.1343500706
"862",35890.1847721815
"863",24948.1251369588
"864",99933.4586713727
"865",71779.0412816847
"866",15716.7139643481
"867",39387.7839278285
"868",11458.7873958298
"869",45797.9818894381
"870",40144.6274479187
"871",107546.75532064
"872",24532.0586885884
"873",41486.8186374714
"874",18441.3260932652
"875",10815.2838645122
"876",45751.4177055192
"877",23098.9516124267
"878",64029.7462877369
"879",41150.9124248832
"880",19426.0125484681
"881",34900.721118366
"882",42034.1502956058
"883",74656.2735936495
"884",34588.0678909054
"885",28755.8370307309
"886",35055.8337605482
"887",20480.5029074571
"888",14892.800770654
"889",106457.870348359
"890",28074.1031295024
"891",27709.4326894419
"892",47862.023657331
"893",40391.5691592813
"894",66043.3246353108
