"","Estimate"
"151",9138.67115481604
"152",6547.68214359671
"153",7111.7597901986
"154",9215.40217624386
"155",8198.66372978278
"156",6216.30502833589
"157",7763.85411263496
"158",4545.72155350274
"159",5856.41955665498
"160",7886.34284742869
"161",5816.97636638867
"162",8340.06899413496
"163",5679.04844192112
"164",6282.8862584224
"165",7381.369322331
"166",5050.97511971452
"167",7699.41743125978
"168",5398.88123144732
"169",7429.63512946176
"170",7503.24845499322
"171",7855.66598334377
"172",5585.30572620877
"173",7202.34521751031
"174",5128.16404351396
"175",7228.23480499699
"176",4546.71641633415
"177",8119.22631713724
"178",9917.05128270105
"179",7031.69561554927
"180",6233.57817904783
"181",6305.79388104997
"182",8441.68912279516
"183",8629.0811420495
"184",7575.72622305193
"185",6626.74331583113
"186",7851.43887585142
"187",8063.99167331967
"188",6051.84702304984
"189",8139.94539032384
"190",7637.59012550218
"191",5479.159391421
"192",8509.30620027628
"193",6014.23756755612
"194",7412.10597468582
"195",7083.29137302607
"196",7235.49381783969
"197",7702.55679056392
"198",6325.19538536264
"199",6386.14615164323
"200",8668.6622201363
"201",9085.00256301861
"202",7337.10039339093
"203",5695.920159049
"204",6105.31125727613
"205",6124.33388663485
"206",6809.36834835976
"207",6180.03862187051
"208",5522.72459065193
"209",5810.14988917707
"210",5500.64193309566
"211",7422.75179459634
"212",6708.83885311982
"213",5552.35077905959
"214",6668.30616970731
"215",5582.90885842951
"216",8561.98248233352
"217",6692.02559863396
"218",7858.42360363113
"219",7506.061276607
"220",7728.00669715938
"221",6902.04547769766
"222",7268.86626344474
"223",4705.60126808178
"224",5601.06678729235
"225",6554.8657347944
"226",9157.56529452386
"227",9463.71897136327
"228",7790.98337330063
"229",7684.31844021737
"230",5732.94756829828
"231",6259.73622040327
"232",10404.3194071812
"233",7220.92239708274
"234",7602.32852202396
"235",6333.33896151731
"236",7035.30658057471
"237",8149.12680829317
"238",8064.45752411844
"239",8560.86790884867
"240",4758.1520750075
"241",8066.74372027207
"242",6864.0532654105
"243",6926.17442705005
"244",6505.05609195402
"245",7536.56997649907
"246",6750.61010078139
"247",7568.57877647083
"248",7691.21479712101
"249",6286.01045179546
"250",4672.34786101737
"251",8854.69966598776
"252",5972.5638552026
"253",6588.72023748536
"254",8719.69389812714
"255",7028.80230495821
"256",6523.74553118194
"257",6793.7229176044
"258",6313.56332995038
"259",8726.77408345881
"260",8008.06735359308
"261",7809.04445862384
"262",7376.51797840332
"263",6137.16245925765
"264",5953.64530153216
"265",7139.43993223876
"266",5253.46714216366
"267",6414.60251254052
"268",7510.7038893794
"269",7314.25705128087
"270",6258.24367914767
"271",5539.76410706848
"272",6338.43769866834
"273",9847.02564517673
"274",8505.15551496188
"275",7927.36551516893
"276",8328.94298040333
"277",5444.7427006795
"278",6020.3265432783
"279",9587.95641203854
"280",5696.92590622275
"281",8508.61892240028
"282",6831.63451457851
"283",6498.97499330835
"284",5462.20408876623
"285",4506.30845497498
"286",5937.16145844799
"287",5169.22221338264
"288",5846.00911071763
"289",6497.46884225708
"290",7846.09328183763
"291",6697.26342705089
"292",4149.75158771263
"293",6278.23848379922
"294",6909.97675745172
"295",7147.66825454947
"296",7435.1021937774
"297",8171.40735384915
"298",5223.32541958549
"299",10213.6462750691
"300",8675.30737693551
"301",7012.57667331198
"302",8299.32027212701
"303",7160.44188778081
"304",6184.06426080436
"305",8321.10117510494
"306",6805.28602207126
"307",7017.50740471377
"308",6021.06860737134
"309",6219.03581534492
"310",5371.61019636853
"311",9945.11218144815
"312",9692.60895357102
"313",5123.95193232463
"314",6661.56464280935
"315",4949.62755898439
"316",6517.69584899462
"317",7270.51759078245
"318",5719.92539974159
"319",9188.72434362271
"320",7505.84740649053
"321",9004.15759583219
"322",8751.35185419148
"323",11609.6719829128
"324",5715.38315112245
"325",8090.81362601112
"326",5800.83790636417
"327",5805.39433941697
"328",7502.34912798175
"329",8272.46105601898
"330",7652.95931028724
"331",8768.41784162376
"332",5531.04426503326
"333",7188.0646351
"334",6826.83243656953
"335",7380.49459404736
"336",9769.68055183772
"337",9817.78764141291
"338",5055.65664234045
"339",4793.42811618314
"340",5782.18288484224
"341",6541.92992072662
"342",8823.27859396621
"343",4058.84349134463
"344",7738.86202612079
"345",6488.45107561151
"346",6392.55337975533
"347",7837.2320596329
"348",7950.66471145995
"349",7572.66728002929
"350",6220.97819656062
"351",5768.98205509988
"352",9901.73450308625
"353",7266.07817922437
"354",7634.88341028249
"355",4531.82697014952
"356",11587.3300356622
"357",7304.95900189163
"358",5919.95196648509
"359",7022.50841084795
"360",6427.93918568004
"361",7147.03046390822
"362",7821.1840678016
"363",7360.11003011192
"364",5556.4076056882
"365",6288.55284333873
"366",7546.23136752066
"367",7442.66517256458
"368",8161.25543010258
"369",4909.31378442572
"370",8359.97629278763
"371",6290.73772679589
"372",6936.77354081899
"373",5577.6423915256
"374",8626.47100396945
"375",8505.71595066033
"376",9241.75719575331
"377",6816.60508744745
"378",5596.44836074378
"379",9648.91627904109
"380",7234.18296511864
"381",9781.72734175573
"382",5536.36286295735
"383",9614.01172330689
"384",6495.95835008672
"385",6477.24870605657
"386",4744.02958210405
"387",6857.92266775589
"388",7793.29348536799
"389",7812.27912838273
"390",6512.60386527114
"391",7250.41444081424
"392",6909.5108176697
"393",6915.05427397257
"394",7698.95685623074
"395",7471.32539223367
"396",8205.78616962855
"397",6088.36526314612
"398",7692.55507903112
"399",6152.54945794892
"400",5922.54702626196
"401",6429.55266599185
"402",5898.24667497277
"403",9642.79776494363
"404",7988.28300631197
"405",6291.93361526324
"406",5728.98771094217
"407",4939.75384201778
"408",6020.69595304328
"409",6399.16569030805
"410",9123.08035589324
"411",8517.28453076051
"412",6283.16890497695
"413",9289.17942962336
"414",6655.4682590029
"415",6827.02333297392
"416",6765.62993674237
"417",9147.97833881681
"418",6794.63442367873
"419",7420.90325255991
"420",5880.07027595804
"421",6392.31023249191
"422",7110.26334715035
"423",6886.84509649308
"424",9071.00471096162
"425",6525.01551009519
"426",7984.63390404254
"427",10446.4053917799
"428",6978.6355811119
"429",5335.51663222145
"430",8472.92027596429
"431",7403.36875153652
"432",5647.81677438158
"433",7757.34353892044
"434",6289.54405658685
"435",7264.8107871022
"436",9503.31619106771
"437",5436.89318787001
"438",7505.27253574768
"439",7909.34061066451
"440",6873.88102368208
"441",6168.68459180889
"442",6725.12114829546
"443",7717.31327680293
"444",6475.38345664912
"445",7899.96574119293
"446",6436.94517457343
"447",5280.90592841447
"448",8185.34895617742
"449",6884.85414325749
"450",7693.84066641473
"451",4969.19369182037
"452",5863.1209282433
"453",6547.63020353621
"454",7196.50265090963
"455",7576.27255257767
"456",6085.95631196811
"457",6050.51734785083
"458",8806.14416087706
"459",5092.1889744032
"460",7454.8355448758
"461",9137.09344354742
"462",6378.25456592486
"463",5325.60372047195
"464",7540.48743060398
"465",7679.4387607224
"466",11124.4760796853
"467",7650.18221323134
"468",5941.36804889504
"469",7515.70235855417
"470",11702.3411665485
"471",7404.1721024306
"472",6475.42219462917
"473",7786.48163778411
"474",6944.36716567217
"475",6578.71232731776
"476",7962.65536176587
"477",7932.17973401185
"478",5134.39665703181
"479",7900.46280398495
"480",7522.87758047013
"481",7249.6229558935
"482",11939.402991189
"483",5796.19159113881
"484",10219.5107249618
"485",6243.98991752431
"486",11036.3391607523
"487",5135.62949653194
"488",5638.12380739061
"489",7458.58074430621
"490",6919.15373672919
"491",6068.39603589899
"492",7093.5199086853
"493",8549.83019141511
"494",6134.4930508153
"495",8304.02867586458
"496",7347.92190038634
"497",6406.17890406772
"498",5988.46481419862
"499",7630.43579948752
"500",7336.36139942845
"501",8459.10043869076
"502",10341.9848184077
"503",6737.19159260725
"504",5890.57123146685
"505",6180.74450673969
"506",7405.27733065634
"507",9916.926052039
"508",8138.5766075074
"509",8016.39731019296
"510",6969.63318599476
"511",4457.27496236248
"512",5810.19698266103
"513",6893.28397246459
"514",9096.51035580164
"515",8720.45360567564
"516",6359.53920148132
"517",6501.27982019556
"518",5586.16070295573
"519",8278.9683115115
"520",8240.38645749514
"521",6705.69487741959
"522",5934.55741290403
"523",6376.48193546051
"524",7345.84938149509
"525",8191.32723577489
"526",7657.56588880317
"527",4654.72383412075
"528",8040.20806401056
"529",5426.46262707705
"530",8846.79191096916
"531",9579.9610079653
"532",5524.11384771804
"533",6520.32949614367
"534",7140.99811016027
"535",5481.61048091355
"536",7763.02861897337
"537",5248.88129020992
"538",8057.42645206261
"539",5840.02959219048
"540",5889.46027901213
"541",8558.62076591253
"542",8162.56816638208
"543",6026.51703625287
"544",7421.73075798822
"545",7700.83596270225
"546",5885.81839757431
"547",6968.50620974963
"548",7590.18692528997
"549",8428.39609161628
"550",6044.84504720709
"551",6752.04230412233
"552",5927.39816761361
"553",6595.27267751834
"554",7349.89366050294
"555",5586.77057676549
"556",6566.19438168767
"557",6670.49505844611
"558",5651.54047892901
"559",4941.91219868693
"560",7615.48686596539
"561",8644.49060563842
"562",6876.63927538119
"563",5150.14939363641
"564",6983.19433274393
"565",5251.96120049488
"566",8839.4142896276
"567",6910.68392984972
"568",9426.1866557967
"569",9478.42866982683
"570",8934.15591079081
"571",6414.1858620943
"572",7450.31979411915
"573",6695.79507365926
"574",6706.82636572132
"575",6081.42899241733
"576",8067.39363494638
"577",7588.63996785172
"578",9450.01609939566
"579",7581.45829546212
"580",5245.7358740009
"581",7580.86843083209
"582",6014.01940000645
"583",7570.95392411786
"584",7491.84725945051
"585",4730.72185427002
"586",8221.08016811901
"587",7407.12499838991
"588",9244.72885788807
"589",6826.65906282759
"590",6935.97747994699
"591",5930.3892555481
"592",6055.38782090827
"593",5962.38970420531
"594",5353.0342469567
"595",4770.27189761414
"596",8423.75702694183
"597",7470.22208389391
"598",7608.07643436657
"599",10017.4594819984
"600",7022.87787314588
"601",8952.83885632279
"602",8352.29825024016
"603",6300.11400149328
"604",6339.95088167743
"605",6248.28971395727
"606",6366.11999179836
"607",8033.70426883131
"608",7828.34637311246
