"","Estimate"
"246",73729.0021481003
"247",36218.4748976435
"248",38749.2019504598
"249",92129.869755067
"250",32548.9452392363
"251",59897.7382031926
"252",32357.8210967647
"253",46448.3302226449
"254",28913.889099214
"255",24816.574396253
"256",21279.9751635031
"257",26488.4796274447
"258",111901.43997671
"259",132531.999357037
"260",18451.4856908653
"261",29756.7527520623
"262",45293.3921060396
"263",51222.3501667863
"264",28093.6796626586
"265",115776.657315588
"266",24933.1684735596
"267",33484.6419591727
"268",48564.4766225351
"269",33151.3780843184
"270",31932.8994858379
"271",185302.02989443
"272",20122.342413702
"273",16508.8222511451
"274",57783.1248208364
"275",92212.805882988
"276",5227.29686551563
"277",61883.4323864671
"278",42070.4057639075
"279",73942.7810611048
"280",37767.2913110539
"281",66884.1744481736
"282",60150.5325024395
"283",22887.8167901608
"284",58843.2856902895
"285",157610.739433629
"286",98707.5959453868
"287",34112.8699228549
"288",24239.1945356953
"289",21851.5150117749
"290",19558.6990950962
"291",44717.6821285092
"292",16322.4435419563
"293",45762.942288422
"294",16013.2904420407
"295",39298.8687754771
"296",101090.452494788
"297",11417.0844205846
"298",25755.3029912755
"299",57981.3697978004
"300",47718.0598520553
"301",51212.101173621
"302",61432.3258649495
"303",46708.0499885469
"304",70729.2462672472
"305",43396.0046130441
"306",43081.8451373354
"307",33106.2237760382
"308",28110.8062863651
"309",27751.4192135809
"310",65730.0908853443
"311",66734.5042338844
"312",88419.2989952786
"313",25698.6631142674
"314",71644.4001950393
"315",66714.8988199996
"316",27380.8873097914
"317",57957.0523219049
"318",15610.540569995
"319",50559.4523219051
"320",77637.5947941595
"321",49066.2346114516
"322",102369.576481652
"323",56266.1345380384
"324",54765.4750934353
"325",30250.4681851292
"326",90315.8200986105
"327",94091.5080149096
"328",80414.718571861
"329",33361.083621344
"330",41871.4735617683
"331",70448.2731296029
"332",115014.784806987
"333",87038.6975272576
"334",42528.1920201579
"335",19817.0411221354
"336",95010.9334702851
"337",53447.9061960111
"338",47760.0681891199
"339",39178.2601354938
"340",65354.2102042019
"341",46125.799559791
"342",21767.6446439269
"343",85348.7461219103
"344",24218.7551165735
"345",28711.8984211772
"346",143909.611886695
"347",46371.4813932488
"348",44354.5128155623
"349",38174.4081429057
"350",92450.6967980264
"351",72128.7449489768
"352",86700.2923292564
"353",48605.7827560325
"354",33156.4151746546
"355",44249.7250206626
"356",83775.8356798408
"357",41266.8826235321
"358",32973.6831597309
"359",62073.1652559232
"360",31596.5874919479
"361",85819.0137867409
"362",37333.6830349827
"363",85306.9566484937
"364",29293.2015978817
"365",35969.293107625
"366",60194.9972125178
"367",51948.7987811981
"368",41417.1880490873
"369",19733.8865868918
"370",89474.2983383491
"371",67641.6624149242
"372",50013.4915723546
"373",153873.074594077
"374",48181.9619210454
"375",62189.399821573
"376",76590.8724550376
"377",82776.5822484986
"378",19490.0497362173
"379",22339.2401700269
"380",37888.6028452498
"381",67270.4879044671
"382",89446.8046199212
"383",68370.7609277566
"384",70552.3442592831
"385",24575.093310293
"386",37640.3165421827
"387",14377.0615031386
"388",78238.1721940833
"389",30582.265884921
"390",35777.5581439448
"391",92246.3982813278
"392",85707.2488909208
"393",53165.8042371146
"394",49045.0282187759
"395",112485.664159347
"396",72268.1295635137
"397",73870.6397636583
"398",73296.3928155374
"399",39657.1632916272
"400",63334.3393850737
"401",81012.0341912728
"402",29220.5844305533
"403",35032.2752457885
"404",51830.1163043053
"405",59956.7617100332
"406",18996.8423116258
"407",104985.776061891
"408",15039.3362244072
"409",118285.303722594
"410",29689.999276141
"411",57909.5497830911
"412",63637.1366383061
"413",97981.3939204985
"414",55978.7954078029
"415",72451.9853655673
"416",60120.3759996451
"417",107969.186020641
"418",44275.3517066278
"419",74258.9397084347
"420",194732.404151833
"421",61734.6456179811
"422",64601.1393472044
"423",140741.967172751
"424",25242.595615291
"425",47635.5652157838
"426",44059.0137787565
"427",45437.9939722325
"428",54445.5034950849
"429",57547.9693867727
"430",43887.6987130948
"431",35792.1749281125
"432",19975.1715644984
"433",16631.9476356325
"434",100049.582387659
"435",46799.930028155
"436",51860.7221898661
"437",18880.4066112546
"438",39370.4351090137
"439",27946.898563266
"440",14019.1257071103
"441",45382.9165175795
"442",86988.5337145851
"443",43819.5005791149
"444",52394.3528725544
"445",132734.948176459
"446",40258.3685477558
"447",27487.6450369976
"448",25475.5505047226
"449",20544.2904437981
"450",27883.5565609457
"451",47727.4743762441
"452",31710.0935358482
"453",40447.2137804353
