Year,runsize_obs
2000,149.71
2001,477.29
2002,1442.04
2003,553
2004,562.37
2005,673.4
2006,1099.11
2007,1100.09
2008,676.32
2009,462.58
2010,622.38
2011,324.42
2012,499.66
2013,168.63
2014,197.54
2015,349.29
2016,409.84
2017,240.02
2018,708.74
2019,806.69
2020,385.99
2021,681.81
2022,656.39
2023,779.994
