Year,runsize_obs
2000,150
2001,477
2002,1442
2003,553
2004,562
2005,673
2006,1099
2007,1100
2008,676
2009,463
2010,622
2011,324
2012,500
2013,169
2014,198
2015,349
2016,410
2017,240
2018,709
2019,807
2020,386
2021,682
2022,656
2023,603
2024,557
2025,578
