"","Estimate"
"459",47569.3166995309
"460",210570.330084632
"461",59510.0394587057
"462",71485.670213521
"463",55612.407752664
"464",30548.6823684533
"465",50108.643352609
"466",74717.2953734919
"467",242537.354610121
"468",183189.467373944
"469",33003.0696635778
"470",170647.497029999
"471",62634.4848189014
"472",84735.2939328215
"473",19452.1980699984
"474",110718.718441475
"475",38822.6250852896
"476",93489.4550221368
"477",52109.7223682642
"478",64763.1304339091
"479",74506.1251730837
"480",122760.890525732
"481",50517.9760646828
"482",101536.798464337
"483",60679.7403978956
"484",73393.5619384925
"485",50620.9846455219
"486",63265.0820737642
"487",78973.0549520584
"488",29887.4382685919
"489",46125.1430420093
"490",154349.842578849
"491",37485.903784555
"492",57328.1826631915
"493",81436.2721940641
"494",48025.0127232627
"495",70151.6507024408
"496",63741.2728375865
"497",20800.1719263213
"498",453392.014547734
"499",110019.187810042
"500",89840.9906596541
"501",67764.1577474246
"502",21001.2274480642
"503",275983.596198191
"504",50672.5983684557
"505",49537.2987676572
"506",66485.6417874972
"507",32092.6771276969
"508",70879.2881872785
"509",96073.5503287295
"510",40302.8424858562
"511",108796.109406294
"512",176292.703616254
"513",31766.022474421
"514",89281.053806473
"515",89680.3998549997
"516",153022.748691585
"517",85869.4930486028
"518",46633.1797994163
"519",60618.6797539127
"520",34699.345009716
"521",51582.1624090838
"522",59709.065738635
"523",105044.461474423
"524",42848.7136234235
"525",68244.5603988046
"526",53702.1532732684
"527",32907.5691478434
"528",159780.740857384
"529",38849.4331975861
"530",74424.6788554722
"531",30542.3987911561
"532",146191.1604595
"533",41649.4591801272
"534",101219.57748193
"535",110882.53474256
"536",107736.595410666
"537",28522.9833493712
"538",275186.407194639
"539",123953.884844465
"540",43275.5964112595
"541",57346.1402094448
"542",52729.5347279259
"543",119488.573855236
"544",276059.538407033
"545",40532.6738556675
"546",87283.0875127968
"547",176732.19606372
"548",66118.8026762689
"549",66375.1266240035
"550",123603.666891323
"551",42357.9888053507
"552",65104.8284926992
"553",58757.6267997649
"554",34835.963592422
"555",59301.3605947269
"556",46670.8956621418
"557",77321.549191899
"558",56665.3339410556
"559",140819.138550627
"560",87424.9777657132
"561",23328.0112770364
"562",16921.2578526871
"563",48581.0670071177
"564",104771.428940052
"565",157559.504672463
"566",33694.4616503285
"567",65760.8640531056
"568",54806.4126459368
"569",104144.960579817
"570",34152.0678351877
"571",51468.4339624907
"572",78235.2511780841
"573",30819.0514278558
"574",120641.202623948
"575",54786.9329765178
"576",69026.8136418911
"577",71846.7241596968
"578",83514.7941090786
"579",140807.583750945
"580",28776.1736280472
"581",96245.4184892215
"582",60648.149935909
"583",16414.4581024168
"584",42603.1440670492
"585",44869.093640869
"586",62144.1945006475
"587",131875.785158501
"588",95437.3154816389
"589",59524.6385121623
"590",60743.7182271811
"591",110140.024840978
"592",120723.986682096
"593",39183.0738328622
"594",50374.827363978
"595",288035.329872424
"596",158600.844264674
"597",77844.3794854637
"598",74079.2010652218
"599",81373.2680013895
"600",62653.8434814545
"601",93511.9497932547
"602",89274.6866533682
"603",81957.8298352964
"604",88961.1785941876
"605",58192.3274278746
"606",51348.5601870431
"607",213663.853145066
"608",120536.491609855
"609",41804.1705774713
"610",49966.0039270153
"611",208696.927329644
"612",54820.5513816975
"613",203556.6845241
"614",71958.9281325439
"615",54351.7643852721
"616",29445.1057696485
"617",81279.1461428677
"618",25312.3792891014
"619",39934.6366726931
"620",45074.9672821119
"621",108916.471986586
"622",66129.8012995504
"623",41334.9304577433
"624",41600.0771712834
"625",110496.692595965
"626",85598.7652844839
"627",22245.7209737091
"628",113693.784787701
"629",15734.1113081536
"630",37764.6347005389
"631",53722.5978474306
"632",59898.9181369942
"633",30761.3849694709
"634",71412.2626407804
"635",45503.7916107301
"636",147739.191417364
"637",65733.7249768474
"638",34405.3472994276
"639",65539.9805664582
"640",22751.5270990305
"641",79736.4735249004
"642",74063.0016666639
"643",60054.4310301173
"644",43120.7935723312
"645",50943.5744367521
"646",69406.107054784
"647",143790.868373584
"648",241815.322862433
"649",45921.8532269831
"650",39490.7717582763
"651",101639.100135771
"652",25381.2669207303
"653",62357.3223964215
"654",72929.0931360618
"655",85086.1059459201
"656",150391.141842351
"657",32794.5688875312
"658",82866.1912991952
"659",56762.2846615499
"660",64180.8898737855
"661",61626.5997547203
"662",59927.033143214
"663",46890.9800730388
"664",32440.482668967
"665",133504.199247773
"666",106967.87361072
"667",62824.5609030035
"668",29226.8112581736
"669",46413.0607182058
"670",61947.4898993436
"671",90911.2017281072
"672",14316.8751773152
"673",95893.722701615
"674",49417.879854773
"675",83881.9798837705
"676",43588.2310977533
"677",43102.5282444372
"678",49659.9003407202
"679",128272.90162518
"680",40067.9227852087
"681",95043.3059371706
"682",80617.1677444203
"683",92321.5759239234
"684",194858.548401865
"685",246445.051130316
"686",63593.449622797
"687",157855.733386217
"688",69468.5642188735
"689",193995.889144631
"690",85476.4919803033
"691",98702.4085791144
"692",73407.537231621
"693",59128.1007548104
"694",54412.196016161
"695",115233.016411128
"696",48630.1748475781
"697",52345.1775918151
"698",46588.5797895597
"699",82717.6202824978
"700",30164.7859683541
"701",76454.8156514444
"702",31768.9840220095
"703",37342.3332980157
"704",54541.2421657408
"705",59595.5016791293
"706",100295.394993424
"707",76227.2051315739
"708",68196.0521725666
"709",18844.3790446661
"710",59295.2408444837
"711",61148.4181410851
"712",52556.9005250472
"713",72822.7291331144
"714",100247.373957989
"715",289434.487396796
"716",49555.2068508128
"717",104966.246000645
"718",62932.5916127639
"719",63582.6475293273
"720",51665.9808800372
"721",57651.4128626706
"722",95644.408619967
"723",86957.3823698147
"724",207368.441599073
"725",66301.5795129553
"726",94509.2097112988
"727",59586.5812638947
"728",30542.4181395478
"729",30879.4979476841
"730",177348.711181881
"731",32430.0250642389
"732",130095.993746879
"733",50385.6139343162
"734",43443.9066367143
"735",50870.2295841689
"736",138007.278540379
"737",51724.8555062157
"738",46339.5786617722
"739",134675.180895051
"740",144769.550888204
"741",58267.9309973054
"742",58574.4071389615
"743",96121.3743505659
"744",154620.917262646
"745",133073.163041211
"746",62852.0854564957
"747",393118.86182189
"748",86094.6065851119
"749",63187.7297206225
"750",35573.0041743359
"751",77144.3878569524
"752",178448.551664934
"753",154745.626146485
"754",87117.517494711
"755",71399.56934308
"756",113439.453493459
"757",53200.3606237724
"758",119601.641697344
"759",130888.12792459
"760",62427.1838523822
"761",71997.6656479642
"762",54145.1057051507
"763",81172.6856822719
